reviewId,userName,score,at,content,sentiment,content_eng
fd49342e-b0d7-40a0-a013-48dfc2077309,Abang Bambang,5,2024-11-25 11:41:27,Baik sekali,Positive,very well
12ee0eba-e205-43c1-8741-272135bbaedc,Dadank77 D2nk,1,2024-08-16 17:31:35,Tiba-tiba keluar sendiri dan g bisa masuk lagi.,Negative,suddenly went out by itself and could not_get back in
37622173-c4a2-4acc-812f-61c03512d209,T Rex,1,2024-08-12 08:53:05,Bad,Negative,bad
649a6a96-922e-4266-bbc9-09448cdf4ed8,Kurniawan Hidayat,5,2024-08-02 21:37:16,Menarik untuk membaca juga menulis. Bahkan ada reward buat keduanya.,Positive,its interesting to read and write there are even rewards for both
40090bb7-74d5-4238-b96e-8eef1fbfb026,Marni Fillah,5,2024-07-25 06:47:02,"Bahagia menjadi seorang pembaca untuk mencari inspirasi, motivasi, atau hiburan sekadar menyenangkan mata. Hingga akhirnya, mampu membahagiakan hati. Sukses selalu opini. Semoga suatu saat saya bisa berkontribusi. Bukan hanya sebagai pembaca, tetapi juga sebagai penulis. Aamiin.",Positive,happy to be a reader to seek inspiration motivation or entertainment just to please the eyes until finally able to make the heart happy success always opinion hopefully someday i can contribute not_only as a reader but also as a writer aamiin
65f33f82-48dc-415c-9c64-60f6c6991a23,Ayu Subekti,1,2024-07-24 10:12:34,Pembayarannya lama banget!!! Enggak kayak dulu.,Negative,the payment takes so long its not_like before
57696e6d-338a-4660-985f-d11703b61b2e,Febry Alfanuddin Indalloh,5,2024-07-20 17:03:43,Bagus,Positive,good
fe6a9ba5-5c32-4f4e-b608-01a890a9c100,mochamad farouk,5,2024-07-19 23:34:44,Mantap,Positive,great
647b2f8e-447c-435b-95d4-964bbdb559c1,PrincecRisya,5,2024-07-13 12:31:50,Semakin ke sini semakin lemot aja aplikasiku. Kenapa ya?,Negative,my application is getting slower and slower why is that
804f8806-9091-4b8a-960b-2b35011718a9,Sumedi Narsosuwarno,5,2024-07-01 14:28:32,Opinia sy tidak bisa dibuka! Cara bukanya bgmna,Negative,my opinion can not_be opened how do i open it
